,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,RainfallTomorrow,Month
95,2009-03-06,Albury,7.6,24.0,0.0,8.6,11.3,WSW,30.0,SE,WNW,0.0,13.0,52.0,23.0,1014.5,1012.0,1.0,0.0,12.6,22.0,No,No,0.0,3
96,2009-03-07,Albury,8.3,27.9,0.0,7.2,11.3,W,37.0,S,W,4.0,20.0,58.0,22.0,1015.2,1012.4,1.0,1.0,13.3,27.0,No,No,0.0,3
97,2009-03-08,Albury,11.0,30.2,0.0,6.8,8.4,SSE,24.0,E,SSE,7.0,11.0,54.0,20.0,1017.0,1014.7,7.0,5.0,17.6,28.8,No,No,0.0,3
98,2009-03-09,Albury,13.8,31.8,0.0,5.8,6.1,NNE,24.0,SSE,NE,6.0,17.0,49.0,28.0,1019.7,1015.9,8.0,5.0,18.6,30.5,No,No,0.0,3
99,2009-03-10,Albury,15.5,32.0,0.0,4.6,7.7,NE,50.0,ESE,E,2.0,4.0,51.0,25.0,1019.5,1016.2,7.0,6.0,20.1,30.8,No,Yes,1.2,3
100,2009-03-11,Albury,18.4,30.5,1.2,6.2,8.0,NE,44.0,NE,N,15.0,19.0,57.0,23.0,1021.3,1018.0,7.0,3.0,21.5,29.6,Yes,No,0.0,3
101,2009-03-12,Albury,20.9,25.7,0.0,7.2,8.3,W,37.0,ENE,S,11.0,9.0,52.0,90.0,1019.5,1018.9,7.0,8.0,22.2,18.8,No,Yes,5.8,3
102,2009-03-13,Albury,17.1,25.8,5.8,6.4,3.6,ENE,31.0,NNW,S,0.0,13.0,82.0,68.0,1017.4,1014.7,8.0,6.0,19.0,23.8,Yes,Yes,3.0,3
103,2009-03-14,Albury,16.4,27.0,3.0,3.0,6.7,SW,69.0,E,N,9.0,22.0,82.0,74.0,1012.7,1008.0,5.0,4.0,19.9,19.7,Yes,Yes,11.6,3
104,2009-03-15,Albury,10.0,19.7,11.6,6.2,11.3,WNW,39.0,W,NW,11.0,17.0,62.0,41.0,1013.4,1012.0,0.0,8.0,12.7,18.3,Yes,No,0.0,3
105,2009-03-16,Albury,8.8,21.9,0.0,7.2,11.5,W,39.0,S,WNW,2.0,20.0,78.0,34.0,1013.3,1011.6,1.0,6.0,12.2,20.5,No,No,0.0,3
106,2009-03-17,Albury,8.4,25.3,0.0,8.6,11.6,WNW,35.0,SSE,WSW,9.0,17.0,78.0,34.0,1015.6,1013.2,0.0,1.0,12.1,23.9,No,No,0.0,3
107,2009-03-18,Albury,9.3,28.0,0.0,5.0,11.5,NW,52.0,SSE,NW,6.0,11.0,76.0,19.0,1017.4,1013.9,3.0,0.0,14.7,27.2,No,No,0.0,3
108,2009-03-19,Albury,11.3,30.1,0.0,7.2,8.8,WSW,24.0,S,SW,6.0,7.0,56.0,15.0,1016.3,1013.6,7.0,2.0,14.7,29.3,No,No,0.0,3
109,2009-03-20,Albury,11.5,33.5,0.0,5.6,10.0,SSE,22.0,NE,N,7.0,7.0,50.0,13.0,1016.5,1013.6,0.0,2.0,17.4,32.6,No,No,0.0,3
110,2009-03-21,Albury,13.8,33.6,0.0,7.0,11.2,NNW,28.0,SSE,NNE,0.0,11.0,47.0,17.0,1017.0,1013.1,0.0,2.0,18.8,33.5,No,No,0.0,3
111,2009-03-22,Albury,14.6,30.0,0.0,6.6,7.6,NE,37.0,E,NNE,4.0,19.0,56.0,30.0,1014.8,1012.7,3.0,1.0,18.1,29.0,No,No,0.0,3
112,2009-03-23,Albury,14.4,31.6,0.0,7.0,8.0,NW,37.0,SSW,WNW,0.0,24.0,63.0,25.0,1013.7,1011.8,6.0,3.0,18.8,31.4,No,No,0.0,3
113,2009-03-24,Albury,10.8,31.9,0.0,6.2,10.6,S,48.0,SSE,WNW,6.0,20.0,62.0,20.0,1016.5,1014.4,4.0,2.0,15.4,30.7,No,No,0.4,3
114,2009-03-25,Albury,15.4,22.3,0.4,8.4,7.1,ENE,30.0,SSE,SSE,11.0,9.0,69.0,78.0,1017.4,1019.2,8.0,8.0,18.3,19.6,No,Yes,1.8,3
115,2009-03-26,Albury,13.3,29.8,1.8,8.6,6.7,WSW,33.0,NNW,WNW,0.0,20.0,87.0,26.0,1019.1,1017.2,3.0,6.0,16.2,29.2,Yes,No,0.0,3
116,2009-03-27,Albury,10.1,27.6,0.0,5.2,9.2,WNW,43.0,SE,W,0.0,11.0,63.0,30.0,1023.0,1020.7,7.0,1.0,16.5,26.8,No,No,0.0,3
117,2009-03-28,Albury,9.1,28.9,0.0,4.8,9.3,NNW,24.0,N,N,2.0,17.0,60.0,26.0,1023.8,1020.6,3.0,5.0,14.0,27.7,No,No,0.0,3
118,2009-03-29,Albury,10.4,31.2,0.0,5.0,9.9,S,22.0,ESE,SE,0.0,6.0,60.0,18.0,1022.4,1019.1,2.0,5.0,16.0,29.9,No,No,0.0,3
119,2009-03-30,Albury,13.4,30.4,0.0,7.0,8.9,ENE,22.0,SSE,SE,0.0,9.0,57.0,16.0,1023.0,1019.5,3.0,5.0,17.2,29.2,No,No,0.0,3
120,2009-03-31,Albury,12.3,29.9,0.0,5.4,7.5,WSW,26.0,S,SSW,2.0,13.0,61.0,25.0,1023.2,1019.5,7.0,4.0,17.1,28.6,No,No,0.0,3
121,2009-04-01,Albury,12.2,30.6,0.0,5.6,5.4,SE,22.0,SSE,ENE,0.0,6.0,59.0,22.0,1022.6,1019.4,6.0,7.0,16.6,29.5,No,No,0.0,4
122,2009-04-02,Albury,14.3,32.1,0.0,2.8,0.7,NE,28.0,SSE,ENE,0.0,11.0,59.0,30.0,1022.6,1018.4,8.0,7.0,18.4,30.9,No,Yes,8.6,4
123,2009-04-03,Albury,18.4,28.1,8.6,2.4,9.1,W,98.0,E,NNE,7.0,17.0,92.0,49.0,1018.8,1012.9,8.0,6.0,19.0,27.4,Yes,Yes,12.6,4
124,2009-04-04,Albury,10.7,21.4,12.6,7.2,7.9,W,43.0,E,WSW,0.0,13.0,60.0,33.0,1019.8,1019.3,7.0,1.0,13.9,20.3,Yes,No,0.0,4
125,2009-04-05,Albury,7.8,21.7,0.0,3.2,9.6,WSW,31.0,E,NW,6.0,19.0,72.0,37.0,1020.4,1016.5,5.0,1.0,12.9,21.2,No,No,0.0,4
126,2009-04-06,Albury,8.1,21.4,0.0,5.6,9.0,W,35.0,SSE,WSW,13.0,19.0,58.0,20.0,1021.8,1019.6,7.0,1.0,13.8,20.9,No,No,0.0,4
127,2009-04-07,Albury,7.5,22.5,0.0,4.8,10.4,SE,28.0,S,S,7.0,7.0,55.0,27.0,1026.7,1023.5,1.0,2.0,13.3,21.6,No,No,0.0,4
128,2009-04-08,Albury,8.2,24.0,0.0,4.6,10.8,SSE,17.0,SSE,SSE,7.0,13.0,60.0,30.0,1027.1,1023.4,0.0,1.0,13.8,23.5,No,No,0.0,4
129,2009-04-09,Albury,8.1,25.7,0.0,2.8,10.8,ENE,22.0,ESE,S,9.0,13.0,67.0,27.0,1024.2,1019.6,1.0,1.0,15.1,25.0,No,No,0.0,4
130,2009-04-10,Albury,11.6,26.7,0.0,4.8,8.9,W,48.0,SE,NE,6.0,11.0,59.0,42.0,1021.5,1017.7,8.0,7.0,16.4,24.3,No,Yes,8.4,4
131,2009-04-11,Albury,13.0,24.9,8.4,2.6,5.0,W,46.0,S,E,6.0,11.0,75.0,47.0,1024.4,1020.3,8.0,6.0,18.0,24.4,Yes,Yes,6.2,4
132,2009-04-12,Albury,13.5,24.2,6.2,2.0,4.4,WSW,20.0,NNW,SE,0.0,6.0,88.0,52.0,1024.1,1020.8,8.0,2.0,15.4,23.1,Yes,No,0.0,4
133,2009-04-13,Albury,9.9,25.4,0.0,4.0,0.7,NNE,19.0,ENE,SSW,4.0,7.0,65.0,35.0,1023.0,1018.7,6.0,7.0,16.1,25.0,No,No,0.0,4
134,2009-04-14,Albury,12.2,25.0,0.0,2.0,5.9,WNW,30.0,WSW,W,0.0,15.0,68.0,39.0,1016.3,1011.6,6.0,7.0,16.2,24.6,No,No,0.0,4
135,2009-04-15,Albury,10.7,21.9,0.0,1.8,8.6,W,63.0,NW,W,26.0,31.0,44.0,27.0,1008.2,1009.8,2.0,1.0,20.5,18.9,No,No,0.0,4
136,2009-04-16,Albury,3.5,20.0,0.0,7.2,10.8,W,31.0,N,WNW,0.0,13.0,65.0,30.0,1016.3,1012.8,5.0,5.0,9.6,19.4,No,No,0.0,4
137,2009-04-17,Albury,6.6,21.6,0.0,4.4,10.6,WNW,26.0,ENE,W,6.0,11.0,59.0,39.0,1018.5,1016.8,5.0,1.0,12.6,21.6,No,No,0.0,4
138,2009-04-18,Albury,7.0,23.4,0.0,3.0,10.4,W,24.0,SSE,W,2.0,17.0,73.0,37.0,1022.8,1019.3,0.0,1.0,12.4,22.9,No,No,0.0,4
